phrase,prompt,Care
When get up I found that I have a stomach ache  and I tried to take medecine but my stomach still hurting me,Stomach ache,PCP
I feel pain in my neck after waking up,Neck pain,PCP
"I cough a lot when I smell perfume, what is wrong with my lungs?",Cough,PCP
I feel pain inside I do not know what it is,Internal pain,PCP
My head hurts whenever I try to do something.,Head ache,PCP
i feel pain in my neck,Neck pain,PCP
I had a collision while playing soccer.  My knee buckled and now it's unstable.,Injury from sports,Emergencey
"My left ear is ok, but the right one feels like it's being stabbed with a nail.",Ear ache,PCP
I feel heart pain when I walk a lot,Heart hurts,Emergencey
The pain feels like it's right below the skin,Muscle pain,PCP
I don't have the energy to do the things that I used to,Body feels weak,PCP
I often get a stomach ache after I eat.  I haven't been able to pinpoint which foods might be the trigger.,Stomach ache,PCP
"I feel pain in my legs muscles after I ran yesterday, I took some pain killers but it doesn't help.",Muscle pain,PCP
I'm not feeling good I get infection wound,Infected wound,PCP
I'm feeling nauseous,Stomach ache,PCP
my left side aches much,Internal pain,PCP
Hearing any loud sounds makes my ear aches,Ear ache,PCP
He was discovered to have an open wound.,Open wound,Emergencey
When i get up i see my skin vague,Skin issue,Pharmacy
I was playing soccer and I twisted my ankle,Injury from sports,Emergencey
I have a feeling like my whole body is complaining,Joint pain,PCP
I think I overdid it when I carried all that lumber from the yard. My lower back is killing me.,Back pain,PCP
I have a blurry vision after my head was hit yesterday.,Blurry vision,PCP
i am having problems seeing things feel like a cloud on my eyes everything is blurry,Blurry vision,PCP
I had a cold the last time I travelled by plane and I still have a discomfort in my ears.,Ear ache,PCP
red flushes accompanied with itchy,Skin issue,Pharmacy
"It started as a tinnitus, but today the pain is throbbing and unbearable.",Ear ache,PCP
"i have whooping cough with excess mucous, need mucolytic.",Cough,PCP
"When I stand up, I feel like I'm going to fall down instantly",Feeling dizzy,PCP
I feel pain in my neck after waking up,Neck pain,PCP
"after playing football, i have muscle pain with my both legs.",Muscle pain,PCP
My lungs feel heavy like they are filled with mucus,Cough,PCP
My back is hurting so much.,Back pain,PCP
I wake up with a stiff neck every morning.  Massage helps but then a couple of days later it's back again.,Neck pain,PCP
I have a headache almost every day,Head ache,PCP
I notice a lot more hair coming out than usual when I brush my hair,Hair falling out,Pharmacy
My hair always falls out and i have lost a lot of hair lately,Hair falling out,Pharmacy
I feel sad like hurt or pain,Emotional pain,PCP
My shoulder aches when I try to lift five pounds.,Shoulder pain,PCP
My muscles feel tired,Body feels weak,PCP
i hit the ground when trying to shoot a basketball,Injury from sports,Emergencey
I feel like I can hardly breathe unless I get what's in my lungs out,Cough,PCP
My foot is hurting so much.,Foot ache,PCP
"There are times when I feel crushed under a huge weight and no air passing to my lungs, it actually scares the hell out of me when it happens.",Hard to breath,Emergencey
Sometimes my body feels week without reason,Body feels weak,PCP
In highschool I had a lot of acne.,Acne,Pharmacy
I feel abdominal pain,Stomach ache,PCP
I feel cold when the night comes,Feeling cold,Pharmacy
cramps along the whole abdomen,Stomach ache,PCP
"My body feels weak although I eat a lot, why?",Body feels weak,PCP
Everything looks like beeing in a smoky area.,Blurry vision,PCP
"I may have overdone it with the weightlifting, because I am afraid I may have torn a muscle on my back.",Injury from sports,Emergencey
I feel pain in the knee when walking,Knee pain,PCP
Have severe cold and cough,Cough,PCP
I had internal pain and gases when I ate indian spicy food yesterday,Internal pain,PCP
The feeling of coughing increases in winter's reach,Cough,PCP
After an hard working day I have foot ache,Foot ache,PCP
I have a foot ache after running 500m with my running shoes.,Foot ache,PCP
I feel a great amount of pressure on the sides of my neck,Shoulder pain,PCP
I feel emotionally crushed,Emotional pain,PCP
When I stand I feel dizzy I do not know why,Feeling dizzy,PCP
My body aches on the inside between my hips and shoulders.,Internal pain,PCP
My ear hurts when I touch it.,Ear ache,PCP
"You won't believe me, but this infected wound on my hand is from a paper cut I didn't take seriously.",Infected wound,PCP
I can't do anything I feel a weak in my body,Body feels weak,PCP
I have a sharp pain and clicking sound in my ankle joint when I try to stand on it and walk.,Joint pain,PCP
"i can't walk, my knee hurts me",Knee pain,PCP
I feel pain in the knee,Knee pain,PCP
"after playing football, i have muscle pain with my both legs.",Muscle pain,PCP
My kee is swallowing which indicates i have an infected wound,Infected wound,PCP
I suffered a deep wound in my hand and I can not stop the bleeding,Infected wound,PCP
i have severe dry cough,Cough,PCP
My back is hurting so much.,Back pain,PCP
My knee hurts when I play squash,Knee pain,PCP
I feel dizzy whenever I stand up.,Feeling dizzy,PCP
"My daughter was bit by her cat and now her hand is sore, red and swollen and the wound is oozing liquid.",Infected wound,PCP
I'm having a hard time hearing.,Ear ache,PCP
"My hair is coming out in chunks, especially when I wash it",Hair falling out,Pharmacy
When I stand up too quick my vision is blurry.,Blurry vision,PCP
"My head hurts and I lose the sensation in my face, then lose sight in my eye",Head ache,PCP
i can't breath because of  Cough,Cough,PCP
I feel a great amount of pressure of my head.,Head ache,PCP
When I remember her I feel down,Emotional pain,PCP
When I stand up too quickly I start to feel dizzy and light-headed,Feeling dizzy,PCP
I have a dull ache in  my lower back which makes it difficult to move,Back pain,PCP
I had a cut that was stitched together but it is not healing.  It is oozing green puss and burns.,Infected wound,PCP
When I wake up in the morning I feel a soreness in my body,Muscle pain,PCP
I have pain in my stomach,Stomach ache,PCP
Even though I'm an adult my face keeps breaking out in pimples.,Acne,Pharmacy
I can hardly move my neck.  It hurts.,Neck pain,PCP
I had a sharp pain in my stomach,Stomach ache,PCP
I get an ear ache when it is cold,Ear ache,PCP
i have a great pain in my foot like thrombing pain with relaxing my pain releif,Foot ache,PCP
When i'm awake in the morning I feel strange and have vertigo,Feeling dizzy,PCP
i have a strong shoulder pain,Shoulder pain,PCP
My ear hurts and it's worse when I swallow.  My ear is very painful and Tylenol hasn't helped.,Ear ache,PCP
The pain in my back dwwls like a sharp knife in it,Back pain,PCP
I made lots and lots of analysis to know the main reason for my stomach ache,Stomach ache,PCP
I feel like there is something swollen and inflamed at the back of my knee.,Knee pain,PCP
When I stand up too quickly I feel as though I'm going to faint.,Feeling dizzy,PCP
I broke my ankle while doing rock climbing in the Carpathians.,Injury from sports,Emergencey
I get clusters of pimples on my face that never go away.,Acne,Pharmacy
I feel a pain in my back when I sit on a chair for long.,Back pain,PCP
I have a cold and it makes me cough alot,Cough,PCP
I can't move my head up and down.,Neck pain,PCP
There is a sharp pain in my bicep,Muscle pain,PCP
There is a sharp pain in my calve.,Muscle pain,PCP
I feel deep Tingling when I touch Acne followed by bad sensation,Acne,Pharmacy
When I walk it's hard to breath.,Hard to breath,Emergencey
When I go to sleep I am feeling cold,Feeling cold,Pharmacy
i can't move my shoulder because of pain,Shoulder pain,PCP
Pain in the large neck,Neck pain,PCP
My daughter had her ears pierced and one of her ear lobes is bright red and burning hot.,Infected wound,PCP
These red spots on my cheeks are new. What is it?,Skin issue,Pharmacy
My head is spinning when I get up.,Feeling dizzy,PCP
I feel like the world goes round and round,Feeling dizzy,PCP
I toppled over while jumping to catch the ball.,Injury from sports,Emergencey
The arches of my feet hurt when I wear heels,Foot ache,PCP
My foot had been aching since last Tuesday.,Foot ache,PCP
standing less than five minutes and my back start to ache,Back pain,PCP
When I remember her I feel down,Emotional pain,PCP
"I can't hear out of my ear properly, I feel like there is something in it causing irritation.",Ear ache,PCP
I've got a hard time to breath- am I having a heart attack?,Hard to breath,Emergencey
All my body is in a bad case and i need a good treatment,Joint pain,PCP
i have a great pain in my foot like thrombing pain with relaxing my pain releif,Foot ache,PCP
"I cut my finger opening a can, it won't stop bleeding and the wound is gaping and open",Open wound,Emergencey
I have a skin rash after eating an ice-cream.,Skin issue,Pharmacy
my temperature dropped and my body get synosed,Feeling cold,Pharmacy
I get an ear ache when it is cold,Ear ache,PCP
My ear hurts and it's worse when I swallow.  My ear is very painful and Tylenol hasn't helped.,Ear ache,PCP
My skin is itchy and inflamed,Skin issue,Pharmacy
When I stand up too quick my vision is blurry.,Blurry vision,PCP
Sharp pain and heavy breathing,Internal pain,PCP
I made lots and lots of analysis to know the main reason for my stomach ache,Stomach ache,PCP
I visited many doctors but they can't find the right treatment toget my hair back,Hair falling out,Pharmacy
I have a sharp pain in my ear,Ear ache,PCP
I have a pain that radiates up from my right hip to my rib cage.  It is at it's worst when I urinate.,Internal pain,PCP
I have a sharp pain in my abdomen.,Internal pain,PCP
I'm in need for a treatment for my hair fall,Hair falling out,Pharmacy
"My body feels weak after my first day in the gym, why?",Body feels weak,PCP
"My daughter was bit by her cat and now her hand is sore, red and swollen and the wound is oozing liquid.",Infected wound,PCP
I had a sharp pain in my stomach,Stomach ache,PCP
There is a sharp pain in my ear whenever I do this.,Ear ache,PCP
I've been feeling very sad lately,Emotional pain,PCP
"I think there's something wrong with my wound, it does not seem to heal like it should.",Infected wound,PCP
I broke my ankle while doing rock climbing in the Carpathians.,Injury from sports,Emergencey
I feel like there is something swollen and inflamed at the back of my knee.,Knee pain,PCP
When I stand up too quickly I start to feel dizzy and light-headed,Feeling dizzy,PCP
I feel a great amount of pressure of my head.,Head ache,PCP
standing less than five minutes and my back start to ache,Back pain,PCP
I cut my hand a couple of weeks ago and even though I keep using an antibiotic cream it's not getting better.,Infected wound,PCP
